Year,Category,Date,Book Title,Author,source
1942,Fiction,August 2,And Now Tomorrow,Rachel Field,scraper_wikipedia
1942,Fiction,August 16,The Song of Bernadette,Franz Werfel,scraper_wikipedia
1942,Fiction,September 6,Drivin' Woman,Elizabeth Chevalier,scraper_wikipedia
1942,Fiction,September 13,The Song of Bernadette,Franz Werfel,scraper_wikipedia
1942,Fiction,November 22,The Robe,Lloyd Douglas,scraper_wikipedia
1943,Fiction,January 3,The Robe,Lloyd Douglas,scraper_wikipedia
1943,Fiction,March 14,Mrs. Parkington,Louis Bromfield,scraper_wikipedia
1943,Fiction,March 21,The Robe,Lloyd Douglas,scraper_wikipedia
1943,Fiction,October 17,So Little Time,John P. Marquand,scraper_wikipedia
1944,Fiction,January 2,A Tree Grows in Brooklyn,Betty Smith,scraper_wikipedia
1944,Fiction,May 14,Strange Fruit,Lillian Smith,scraper_wikipedia
1944,Fiction,May 21,A Tree Grows in Brooklyn,Betty Smith,scraper_wikipedia
1944,Fiction,June 4,Strange Fruit,Lillian Smith,scraper_wikipedia
1944,Fiction,June 18,A Tree Grows in Brooklyn,Betty Smith,scraper_wikipedia
1944,Fiction,June 25,Strange Fruit,Lillian Smith,scraper_wikipedia
1944,Fiction,July 2,The Razor's Edge,Somerset Maugham,scraper_wikipedia
1944,Fiction,July 9,Strange Fruit,Lillian Smith,scraper_wikipedia
1944,Fiction,July 30,The Razor's Edge,Somerset Maugham,scraper_wikipedia
1944,Fiction,August 6,Strange Fruit,Lillian Smith,scraper_wikipedia
1944,Fiction,August 20,The Razor's Edge,Somerset Maugham,scraper_wikipedia
1944,Fiction,August 27,Strange Fruit,Lillian Smith,scraper_wikipedia
1944,Fiction,September 24,The Razor's Edge,Somerset Maugham,scraper_wikipedia
1944,Fiction,October 1,Strange Fruit,Lillian Smith,scraper_wikipedia
1944,Fiction,October 15,Green Dolphin Street,Elizabeth Goudge,scraper_wikipedia
1944,Fiction,November 12,Forever Amber,Kathleen Winsor,scraper_wikipedia
1944,Fiction,December 3,Green Dolphin Street,Elizabeth Goudge,scraper_wikipedia
1944,Fiction,December 10,Forever Amber,Kathleen Winsor,scraper_wikipedia
1944,Fiction,December 17,The Green Years,A. J. Cronin,scraper_wikipedia
1944,Fiction,December 25,Forever Amber,Kathleen Winsor,scraper_wikipedia
1945,Fiction,January 1,The Green Years,A.J. Cronin,scraper_wikipedia
1945,Fiction,April 22,Earth and High Heaven,Gwethalyn Graham,scraper_wikipedia
1945,Fiction,May 6,The Green Years,A.J. Cronin,scraper_wikipedia
1945,Fiction,May 13,Captain from Castile,Samuel Shellabarger,scraper_wikipedia
1945,Fiction,July 1,A Lion is in the Streets,Adria Locke Langley,scraper_wikipedia
1945,Fiction,September 23,So Well Remembered,James Hilton,scraper_wikipedia
1945,Fiction,September 30,The Black Rose,Thomas B. Costain,scraper_wikipedia
1946,Fiction,January 6,The Black Rose,Thomas Costain,scraper_wikipedia
1946,Fiction,February 3,The King's General,Daphne du Maurier,scraper_wikipedia
1946,Fiction,March 10,Arch of Triumph,Erich Maria Remarque,scraper_wikipedia
1946,Fiction,March 17,The King's General,Daphne du Maurier,scraper_wikipedia
1946,Fiction,March 24,Arch of Triumph,Erich Maria Remarque,scraper_wikipedia
1946,Fiction,May 12,This Side of Innocence,Taylor Caldwell,scraper_wikipedia
1946,Fiction,July 14,The Hucksters,Frederic Wakeman,scraper_wikipedia
1946,Fiction,November 24,East River,Sholem Asch,scraper_wikipedia
1946,Fiction,December 1,B.F.'s Daughter,John P. Marquand,scraper_wikipedia
1947,Fiction,January 5,B.F.'s Daughter,John P. Marquand,scraper_wikipedia
1947,Fiction,February 2,Lydia Bailey,Kenneth Roberts,scraper_wikipedia
1947,Fiction,April 27,Gentlemen's Agreement,Laura Z. Hobson,scraper_wikipedia
1947,Fiction,July 6,Kingsblood Royal,Sinclair Lewis,scraper_wikipedia
1947,Fiction,July 20,Gentlemen's Agreement,Laura Z. Hobson,scraper_wikipedia
1947,Fiction,August 17,The Moneyman,Thomas B. Costain,scraper_wikipedia
1947,Fiction,November 16,House Divided,Ben Ames Williams,scraper_wikipedia
1948,Fiction,January 3,House Divided,Ben Ames Williams,scraper_wikipedia
1948,Fiction,February 7,"East Side, West Side",Marcia Davenport,scraper_wikipedia
1948,Fiction,February 21,House Divided,Ben Ames Williams,scraper_wikipedia
1948,Fiction,March 7,Eagle in the Sky,Van Wyck Mason,scraper_wikipedia
1948,Fiction,April 4,The Ides of March,Thornton Wilder,scraper_wikipedia
1948,Fiction,April 11,Eagle in the Sky,Van Wyck Mason,scraper_wikipedia
1948,Fiction,April 18,The Ides of March,Thornton Wilder,scraper_wikipedia
1948,Fiction,April 25,Raintree County,Ross Lockridge Jr.,scraper_wikipedia
1948,Fiction,May 16,Raintree County,Ross Lockridge,scraper_wikipedia
1948,Fiction,May 23,Pilgrim's Inn,Elizabeth Goudge,scraper_wikipedia
1948,Fiction,May 30,Raintree County,Ross Lockridge,scraper_wikipedia
1948,Fiction,June 6,Pilgrim's Inn,Elizabeth Goudge,scraper_wikipedia
1948,Fiction,June 20,The Naked and the Dead,Norman Mailer,scraper_wikipedia
1948,Fiction,September 5,Shannon's Way,A. J. Cronin,scraper_wikipedia
1948,Fiction,September 19,The Naked and the Dead,Norman Mailer,scraper_wikipedia
1948,Fiction,September 26,Shannon's Way,A. J. Cronin,scraper_wikipedia
1948,Fiction,October 3,The Naked and the Dead,Norman Mailer,scraper_wikipedia
1948,Fiction,November 7,The Young Lions,Irwin Shaw,scraper_wikipedia
1948,Fiction,November 14,The Naked and the Dead,Norman Mailer,scraper_wikipedia
1948,Fiction,November 28,The Young Lions,Irwin Shaw,scraper_wikipedia
1948,Fiction,December 19,The Big Fisherman,Lloyd C. Douglas,scraper_wikipedia
1949,Fiction,January 3,The Big Fisherman,Lloyd Douglas,scraper_wikipedia
1949,Fiction,April 10,Point of No Return,John P. Marquand,scraper_wikipedia
1949,Fiction,September 18,A Rage To Live,John O'Hara,scraper_wikipedia
1949,Fiction,October 30,The Egyptian,Mika Waltari,scraper_wikipedia
1950,Fiction,January 1,The Egyptian,Mika Waltari,scraper_wikipedia
1950,Fiction,February 19,The Parasites,Daphne du Maurier,scraper_wikipedia
1950,Fiction,March 26,The Wall,John Hersey,scraper_wikipedia
1950,Fiction,April 30,The Cardinal,Henry Morton Robinson,scraper_wikipedia
1950,Fiction,October 15,Across the River and into the Trees,Ernest Hemingway,scraper_wikipedia
1950,Fiction,December 3,The Disenchanted,Budd Schulberg,scraper_wikipedia
1951,Fiction,January 7,The Disenchanted,Budd Schulberg,scraper_wikipedia
1951,Fiction,January 14,Joy Street,Frances Parkinson Keyes,scraper_wikipedia
1951,Fiction,February 18,The Disenchanted,Budd Schulberg,scraper_wikipedia
1951,Fiction,February 25,Joy Street,Frances Parkinson Keyes,scraper_wikipedia
1951,Fiction,March 11,The Disenchanted,Budd Schulberg,scraper_wikipedia
1951,Fiction,March 18,Joy Street,Frances Parkinson Keyes,scraper_wikipedia
1951,Fiction,March 25,From Here to Eternity,James Jones,scraper_wikipedia
1951,Fiction,August 12,The Caine Mutiny,Herman Wouk,scraper_wikipedia
1952,Fiction,January 6,The Caine Mutiny,Herman Wouk,scraper_wikipedia
1952,Fiction,March 30,My Cousin Rachel,Daphne du Maurier,scraper_wikipedia
1952,Fiction,May 25,The Caine Mutiny,Herman Wouk,scraper_wikipedia
1952,Fiction,September 7,The Silver Chalice,Thomas B. Costain,scraper_wikipedia
1952,Fiction,November 2,East of Eden,John Steinbeck,scraper_wikipedia
1953,Fiction,January 4,The Silver Chalice,Thomas B. Costain,scraper_wikipedia
1953,Fiction,January 11,East of Eden,John Steinbeck,scraper_wikipedia
1953,Fiction,January 18,The Silver Chalice,Thomas B. Costain,scraper_wikipedia
1953,Fiction,February 1,East of Eden,John Steinbeck,scraper_wikipedia
1953,Fiction,February 8,The Silver Chalice,Thomas B. Costain,scraper_wikipedia
1953,Fiction,March 8,Désirée,Annemarie Selinko,scraper_wikipedia
1953,Fiction,October 11,Beyond This Place,A.J. Cronin,scraper_wikipedia
1953,Fiction,October 25,Désirée,Annemarie Selinko,scraper_wikipedia
1953,Fiction,November 1,Beyond This Place,A.J. Cronin,scraper_wikipedia
1953,Fiction,November 29,Lord Vanity,Samuel Shellabarger,scraper_wikipedia
1954,Fiction,January 3,Lord Vanity,Samuel Shellabarger,scraper_wikipedia
1954,Fiction,February 14,Not as a Stranger,Morton Thompson,scraper_wikipedia
1954,Fiction,August 1,Mary Anne,Daphne du Maurier,scraper_wikipedia
1954,Fiction,October 17,Love is Eternal,Irving Stone,scraper_wikipedia
1955,Fiction,January 2,The View from Pompey's Head,Hamilton Basso,scraper_wikipedia
1955,Fiction,April 10,"Sincerely, Willis Wayde",John P. Marquand,scraper_wikipedia
1955,Fiction,May 22,Bonjour Tristesse,Françoise Sagan,scraper_wikipedia
1955,Fiction,July 3,Something of Value,Robert Ruark,scraper_wikipedia
1955,Fiction,July 10,Bonjour Tristesse,Françoise Sagan,scraper_wikipedia
1955,Fiction,July 17,Something of Value,Robert Ruark,scraper_wikipedia
1955,Fiction,July 24,Bonjour Tristesse,Françoise Sagan,scraper_wikipedia
1955,Fiction,August 28,Auntie Mame,Patrick Dennis,scraper_wikipedia
1955,Fiction,October 2,Marjorie Morningstar,Herman Wouk,scraper_wikipedia
1956,Fiction,January 1,Andersonville,MacKinlay Kantor,scraper_wikipedia
1956,Fiction,March 25,The Last Hurrah,Edwin O'Connor,scraper_wikipedia
1956,Fiction,August 12,Don't Go Near the Water,William Brinkley,scraper_wikipedia
1956,Fiction,November 25,Peyton Place,Grace Metalious,scraper_wikipedia
1957,Fiction,January 6,Peyton Place,Grace Metalious,scraper_wikipedia
1957,Fiction,March 24,The Scapegoat,Daphne du Maurier,scraper_wikipedia
1957,Fiction,June 30,Peyton Place,Grace Metalious,scraper_wikipedia
1957,Fiction,September 22,By Love Possessed,James Gould Cozzens,scraper_wikipedia
1958,Fiction,January 5,By Love Possessed,James Gould Cozzens,scraper_wikipedia
1958,Fiction,March 9,Anatomy of a Murder,Robert Traver,scraper_wikipedia
1958,Fiction,September 28,Lolita,Vladimir Nabokov,scraper_wikipedia
1958,Fiction,November 16,Doctor Zhivago,Boris Pasternak,scraper_wikipedia
1959,Fiction,January 4,Doctor Zhivago,Boris Pasternak,scraper_wikipedia
1959,Fiction,May 17,Exodus,Leon Uris,scraper_wikipedia
1959,Fiction,October 4,Advise and Consent,Allen Drury,scraper_wikipedia
1960,Fiction,January 3,Advise and Consent,Allen Drury,scraper_wikipedia
1960,Fiction,January 17,Hawaii,James Michener,scraper_wikipedia
1960,Fiction,January 24,Advise and Consent,Allen Drury,scraper_wikipedia
1960,Fiction,January 31,Hawaii,James Michener,scraper_wikipedia
1960,Fiction,May 22,Advise and Consent,Allen Drury,scraper_wikipedia
1960,Fiction,May 29,Hawaii,James Michener,scraper_wikipedia
1960,Fiction,June 5,Advise and Consent,Allen Drury,scraper_wikipedia
1960,Fiction,July 17,Hawaii,James Michener,scraper_wikipedia
1960,Fiction,July 24,Advise and Consent,Allen Drury,scraper_wikipedia
1960,Fiction,August 21,Hawaii,James Michener,scraper_wikipedia
1960,Fiction,November 27,Advise and Consent,Allen Drury,scraper_wikipedia
1960,Fiction,December 4,Hawaii,James Michener,scraper_wikipedia
1961,Fiction,January 2,Hawaii,James Michener,scraper_wikipedia
1961,Fiction,March 26,The Last of the Just,André Schwarz-Bart,scraper_wikipedia
1961,Fiction,April 23,The Agony and the Ecstasy,Irving Stone,scraper_wikipedia
1961,Fiction,October 29,Franny and Zooey,J. D. Salinger,scraper_wikipedia
1962,Fiction,January 1,Franny and Zooey,J. D. Salinger,scraper_wikipedia
1962,Fiction,April 29,Ship of Fools,Katherine Anne Porter,scraper_wikipedia
1962,Fiction,October 28,A Shade of Difference,Allen Drury,scraper_wikipedia
1962,Fiction,November 18,Seven Days in May,Fletcher Knebel,scraper_wikipedia
1962,Fiction,November 25,A Shade of Difference,Allen Drury,scraper_wikipedia
1962,Fiction,December 2,Seven Days in May,Fletcher Knebel,scraper_wikipedia
1963,Fiction,March 3,Seven Days in May,Fletcher Knebel,scraper_wikipedia
1963,Fiction,March 10,"Raise High the Roof Beam, Carpenters",J. D. Salinger,scraper_wikipedia
1963,Fiction,May 19,The Glass-Blowers,Daphne du Maurier,scraper_wikipedia
1963,Fiction,June 30,The Shoes of the Fisherman,Morris West,scraper_wikipedia
1963,Fiction,October 6,The Group,Mary McCarthy,scraper_wikipedia
1964,Fiction,January 5,The Group,Mary McCarthy,scraper_wikipedia
1964,Fiction,February 23,The Spy Who Came in from the Cold,John le Carré,scraper_wikipedia
1964,Fiction,October 4,The Rector of Justin,Louis Auchincloss,scraper_wikipedia
1964,Fiction,October 11,The Spy Who Came in from the Cold,John le Carré,scraper_wikipedia
